layer_name,layer_type,params
conv4_block3_concat,Concatenate,0
conv4_block4_0_bn,BatchNormalization,1408
conv4_block4_0_relu,Activation,0
conv4_block4_1_conv,Conv2D,45056
conv4_block4_1_bn,BatchNormalization,512
conv4_block4_1_relu,Activation,0
conv4_block4_2_conv,Conv2D,36864
conv4_block4_concat,Concatenate,0
conv4_block5_0_bn,BatchNormalization,1536
conv4_block5_0_relu,Activation,0
conv4_block5_1_conv,Conv2D,49152
conv4_block5_1_bn,BatchNormalization,512
conv4_block5_1_relu,Activation,0
conv4_block5_2_conv,Conv2D,36864
conv4_block5_concat,Concatenate,0
conv4_block6_0_bn,BatchNormalization,1664
conv4_block6_0_relu,Activation,0
conv4_block6_1_conv,Conv2D,53248
conv4_block6_1_bn,BatchNormalization,512
conv4_block6_1_relu,Activation,0
conv4_block6_2_conv,Conv2D,36864
conv4_block6_concat,Concatenate,0
conv4_block7_0_bn,BatchNormalization,1792
conv4_block7_0_relu,Activation,0
conv4_block7_1_conv,Conv2D,57344
conv4_block7_1_bn,BatchNormalization,512
conv4_block7_1_relu,Activation,0
conv4_block7_2_conv,Conv2D,36864
conv4_block7_concat,Concatenate,0
conv4_block8_0_bn,BatchNormalization,1920
conv4_block8_0_relu,Activation,0
conv4_block8_1_conv,Conv2D,61440
conv4_block8_1_bn,BatchNormalization,512
conv4_block8_1_relu,Activation,0
conv4_block8_2_conv,Conv2D,36864
conv4_block8_concat,Concatenate,0
conv4_block9_0_bn,BatchNormalization,2048
conv4_block9_0_relu,Activation,0
conv4_block9_1_conv,Conv2D,65536
conv4_block9_1_bn,BatchNormalization,512
conv4_block9_1_relu,Activation,0
conv4_block9_2_conv,Conv2D,36864
conv4_block9_concat,Concatenate,0
conv4_block10_0_bn,BatchNormalization,2176
conv4_block10_0_relu,Activation,0
conv4_block10_1_conv,Conv2D,69632
conv4_block10_1_bn,BatchNormalization,512
conv4_block10_1_relu,Activation,0
conv4_block10_2_conv,Conv2D,36864
conv4_block10_concat,Concatenate,0
conv4_block11_0_bn,BatchNormalization,2304
conv4_block11_0_relu,Activation,0
conv4_block11_1_conv,Conv2D,73728
conv4_block11_1_bn,BatchNormalization,512
conv4_block11_1_relu,Activation,0
conv4_block11_2_conv,Conv2D,36864
conv4_block11_concat,Concatenate,0
conv4_block12_0_bn,BatchNormalization,2432
conv4_block12_0_relu,Activation,0
conv4_block12_1_conv,Conv2D,77824
conv4_block12_1_bn,BatchNormalization,512
conv4_block12_1_relu,Activation,0
conv4_block12_2_conv,Conv2D,36864
conv4_block12_concat,Concatenate,0
conv4_block13_0_bn,BatchNormalization,2560
conv4_block13_0_relu,Activation,0
conv4_block13_1_conv,Conv2D,81920
conv4_block13_1_bn,BatchNormalization,512
conv4_block13_1_relu,Activation,0
conv4_block13_2_conv,Conv2D,36864
conv4_block13_concat,Concatenate,0
conv4_block14_0_bn,BatchNormalization,2688
conv4_block14_0_relu,Activation,0
conv4_block14_1_conv,Conv2D,86016
conv4_block14_1_bn,BatchNormalization,512
conv4_block14_1_relu,Activation,0
conv4_block14_2_conv,Conv2D,36864
conv4_block14_concat,Concatenate,0
conv4_block15_0_bn,BatchNormalization,2816
conv4_block15_0_relu,Activation,0
conv4_block15_1_conv,Conv2D,90112
conv4_block15_1_bn,BatchNormalization,512
conv4_block15_1_relu,Activation,0
conv4_block15_2_conv,Conv2D,36864
conv4_block15_concat,Concatenate,0
conv4_block16_0_bn,BatchNormalization,2944
conv4_block16_0_relu,Activation,0
conv4_block16_1_conv,Conv2D,94208
conv4_block16_1_bn,BatchNormalization,512
conv4_block16_1_relu,Activation,0
conv4_block16_2_conv,Conv2D,36864
conv4_block16_concat,Concatenate,0
conv4_block17_0_bn,BatchNormalization,3072
conv4_block17_0_relu,Activation,0
conv4_block17_1_conv,Conv2D,98304
conv4_block17_1_bn,BatchNormalization,512
conv4_block17_1_relu,Activation,0
conv4_block17_2_conv,Conv2D,36864
conv4_block17_concat,Concatenate,0
conv4_block18_0_bn,BatchNormalization,3200
conv4_block18_0_relu,Activation,0
conv4_block18_1_conv,Conv2D,102400
conv4_block18_1_bn,BatchNormalization,512
conv4_block18_1_relu,Activation,0
conv4_block18_2_conv,Conv2D,36864
conv4_block18_concat,Concatenate,0
conv4_block19_0_bn,BatchNormalization,3328
conv4_block19_0_relu,Activation,0
conv4_block19_1_conv,Conv2D,106496
conv4_block19_1_bn,BatchNormalization,512
conv4_block19_1_relu,Activation,0
conv4_block19_2_conv,Conv2D,36864
conv4_block19_concat,Concatenate,0
conv4_block20_0_bn,BatchNormalization,3456
conv4_block20_0_relu,Activation,0
conv4_block20_1_conv,Conv2D,110592
conv4_block20_1_bn,BatchNormalization,512
conv4_block20_1_relu,Activation,0
conv4_block20_2_conv,Conv2D,36864
conv4_block20_concat,Concatenate,0
conv4_block21_0_bn,BatchNormalization,3584
conv4_block21_0_relu,Activation,0
conv4_block21_1_conv,Conv2D,114688
conv4_block21_1_bn,BatchNormalization,512
conv4_block21_1_relu,Activation,0
conv4_block21_2_conv,Conv2D,36864
conv4_block21_concat,Concatenate,0
conv4_block22_0_bn,BatchNormalization,3712
conv4_block22_0_relu,Activation,0
conv4_block22_1_conv,Conv2D,118784
conv4_block22_1_bn,BatchNormalization,512
conv4_block22_1_relu,Activation,0
conv4_block22_2_conv,Conv2D,36864
conv4_block22_concat,Concatenate,0
conv4_block23_0_bn,BatchNormalization,3840
conv4_block23_0_relu,Activation,0
conv4_block23_1_conv,Conv2D,122880
conv4_block23_1_bn,BatchNormalization,512
conv4_block23_1_relu,Activation,0
conv4_block23_2_conv,Conv2D,36864
conv4_block23_concat,Concatenate,0
conv4_block24_0_bn,BatchNormalization,3968
conv4_block24_0_relu,Activation,0
conv4_block24_1_conv,Conv2D,126976
conv4_block24_1_bn,BatchNormalization,512
conv4_block24_1_relu,Activation,0
conv4_block24_2_conv,Conv2D,36864
conv4_block24_concat,Concatenate,0
pool4_bn,BatchNormalization,4096
pool4_relu,Activation,0
pool4_conv,Conv2D,524288
pool4_pool,AveragePooling2D,0
conv5_block1_0_bn,BatchNormalization,2048
conv5_block1_0_relu,Activation,0
conv5_block1_1_conv,Conv2D,65536
conv5_block1_1_bn,BatchNormalization,512
conv5_block1_1_relu,Activation,0
conv5_block1_2_conv,Conv2D,36864
conv5_block1_concat,Concatenate,0
conv5_block2_0_bn,BatchNormalization,2176
conv5_block2_0_relu,Activation,0
conv5_block2_1_conv,Conv2D,69632
conv5_block2_1_bn,BatchNormalization,512
conv5_block2_1_relu,Activation,0
conv5_block2_2_conv,Conv2D,36864
conv5_block2_concat,Concatenate,0
conv5_block3_0_bn,BatchNormalization,2304
conv5_block3_0_relu,Activation,0
conv5_block3_1_conv,Conv2D,73728
conv5_block3_1_bn,BatchNormalization,512
conv5_block3_1_relu,Activation,0
conv5_block3_2_conv,Conv2D,36864
conv5_block3_concat,Concatenate,0
conv5_block4_0_bn,BatchNormalization,2432
conv5_block4_0_relu,Activation,0
conv5_block4_1_conv,Conv2D,77824
conv5_block4_1_bn,BatchNormalization,512
conv5_block4_1_relu,Activation,0
conv5_block4_2_conv,Conv2D,36864
conv5_block4_concat,Concatenate,0
conv5_block5_0_bn,BatchNormalization,2560
conv5_block5_0_relu,Activation,0
conv5_block5_1_conv,Conv2D,81920
conv5_block5_1_bn,BatchNormalization,512
conv5_block5_1_relu,Activation,0
conv5_block5_2_conv,Conv2D,36864
conv5_block5_concat,Concatenate,0
conv5_block6_0_bn,BatchNormalization,2688
conv5_block6_0_relu,Activation,0
conv5_block6_1_conv,Conv2D,86016
conv5_block6_1_bn,BatchNormalization,512
conv5_block6_1_relu,Activation,0
conv5_block6_2_conv,Conv2D,36864
conv5_block6_concat,Concatenate,0
conv5_block7_0_bn,BatchNormalization,2816
conv5_block7_0_relu,Activation,0
conv5_block7_1_conv,Conv2D,90112
conv5_block7_1_bn,BatchNormalization,512
conv5_block7_1_relu,Activation,0
conv5_block7_2_conv,Conv2D,36864
conv5_block7_concat,Concatenate,0
conv5_block8_0_bn,BatchNormalization,2944
conv5_block8_0_relu,Activation,0
